claim_id,product_id,product_category,product_name,serial_number,purchase_date,purchase_price,warranty_start_date,warranty_duration_days,warranty_expiry_date,fault_occurrence_date,fault_type,fault_description,damage_type,claim_submission_date,product_age_days,has_receipt,has_warranty_card,has_product_image,serial_number_match,repair_count,repair_authorized,previous_replacement,is_duplicate_claim,class_label
CLM-01117,PRD-01117,Electronics,Smartphone,SN-30BCB80ECF,2025-03-10,344.31,2025-03-10,730,2027-03-10,2025-04-13,Charging Port Issue,Charging Port Issue reported by customer.,Manufacturing Defect,2025-04-18,39,True,True,True,True,1,True,False,True,ManualReview
CLM-01369,PRD-01369,Appliances,Refrigerator,SN-82A362E991,2025-08-22,178.47,2025-08-22,1095,2028-08-21,2026-08-22,Drainage Issue,Drainage Issue reported by customer.,Cosmetic Damage,2026-08-27,370,True,True,True,True,1,True,False,True,ManualReview
CLM-00423,PRD-00423,Furniture,Bookshelf,SN-C66DD64C63,2023-02-19,1989.87,2023-02-19,365,2024-02-19,2024-01-21,Upholstery Tear,Upholstery Tear reported by customer during normal use.,Structural Damage,2024-01-25,340,True,True,True,True,1,True,False,False,Valid
CLM-00414,PRD-00414,Appliances,Refrigerator,SN-F2020E4001,2024-11-14,1030.61,2024-11-14,730,2026-11-14,2026-10-22,Thermostat Malfunction,Thermostat Malfunction reported by customer during normal use.,Accidental Damage,2026-10-26,711,True,True,True,True,1,True,False,False,Valid
CLM-00452,PRD-00452,Electronics,Smartphone,SN-E429415868,2025-06-11,310.03,2025-06-11,730,2027-06-11,2026-03-27,Screen Malfunction,Screen Malfunction reported by customer during normal use.,Structural Damage,2026-03-31,293,True,True,True,True,1,True,False,False,Valid
CLM-00862,PRD-00862,Furniture,Dining Table,SN-20720CCAE2,2026-04-19,1979.16,2026-04-19,1095,2029-04-18,2028-11-11,Misuse Damage,Misuse Damage - not covered under warranty terms.,Accidental Damage,2028-11-13,939,True,True,True,True,0,True,False,False,Invalid
CLM-01064,PRD-01064,Appliances,Washing Machine,SN-9FE29CDF3A,2022-10-16,852.47,2022-10-16,730,2024-10-15,2023-07-24,Electrical Short Circuit,Electrical Short Circuit reported by customer.,Manufacturing Defect,2023-07-28,285,True,True,True,True,1,False,False,False,ManualReview
CLM-00742,PRD-00742,Electronics,Television,SN-1597DFB34B,2025-05-07,1421.57,2025-05-07,730,2027-05-07,2027-06-14,Battery Failure,Battery Failure reported by customer.,Electrical Fault,2027-06-17,771,True,True,True,True,1,True,False,False,Invalid
CLM-01273,PRD-01273,Furniture,Bed Frame,SN-79A8F36BF5,2026-02-03,2255.01,2026-02-03,1095,2029-02-02,2029-01-11,Joint/Hinge Failure,Joint/Hinge Failure reported by customer.,Cosmetic Damage,2029-01-14,1076,True,True,True,True,2,False,False,False,ManualReview
CLM-00260,PRD-00260,Electronics,Laptop,SN-DCE865923F,2024-02-23,164.08,2024-02-23,730,2026-02-22,2025-09-01,Charging Port Issue,Charging Port Issue reported by customer during normal use.,Cosmetic Damage,2025-09-06,561,True,True,True,True,0,True,False,False,Valid
CLM-00889,PRD-00889,Appliances,Washing Machine,SN-437B5AAA53,2025-05-23,1057.63,2025-05-23,730,2027-05-23,2027-09-27,Motor Failure,Motor Failure reported by customer.,Accidental Damage,2027-09-30,860,True,True,True,True,0,True,False,False,Invalid
CLM-01433,PRD-01433,Appliances,Refrigerator,SN-960CB59F65,2026-01-23,2098.38,2026-01-23,1095,2029-01-22,2029-01-12,Electrical Short Circuit,Electrical Short Circuit reported by customer.,Cosmetic Damage,2029-01-15,1088,True,True,True,True,0,True,False,False,ManualReview
CLM-00713,PRD-00713,Furniture,Bookshelf,SN-4CEAA5F859,2023-03-07,2057.99,2023-03-07,365,2024-03-06,2023-06-15,Normal Wear and Tear,Normal Wear and Tear - not covered under warranty terms.,Structural Damage,2023-06-18,103,True,True,True,True,0,True,False,False,Invalid
CLM-01383,PRD-01383,Furniture,Dining Table,SN-4520DDF66C,2024-09-13,144.15,2024-09-13,1095,2027-09-13,2026-11-06,Structural Frame Defect,Structural Frame Defect reported by customer.,Cosmetic Damage,2026-11-07,785,True,True,True,True,3,False,False,False,ManualReview
CLM-00071,PRD-00071,Appliances,Refrigerator,SN-76FAB44647,2025-10-27,1545.31,2025-10-27,1095,2028-10-26,2028-08-06,Motor Failure,Motor Failure reported by customer during normal use.,Accidental Damage,2028-08-09,1017,True,True,True,True,1,True,False,False,Valid
CLM-01269,PRD-01269,Furniture,Bed Frame,SN-598A4D7F5C,2024-01-31,888.99,2024-01-31,365,2025-01-30,2024-11-18,Joint/Hinge Failure,"Minor issue, hard to describe",Accidental Damage,2024-11-21,295,True,True,True,True,1,True,False,False,ManualReview
CLM-01492,PRD-01492,Appliances,Air Conditioner,SN-EB1D5B1C83,2024-05-19,342.64,2024-05-19,1095,2027-05-19,2027-05-15,Motor Failure,Motor Failure reported by customer.,Manufacturing Defect,2027-05-16,1092,True,True,True,True,0,True,False,False,ManualReview
CLM-00608,PRD-00608,Appliances,Washing Machine,SN-4C7A0500E8,2024-10-10,181.81,2024-10-10,730,2026-10-10,2026-06-12,Rust/Corrosion,Rust/Corrosion - not covered under warranty terms.,Electrical Fault,2026-06-17,615,True,True,True,True,1,True,False,False,Invalid
CLM-00434,PRD-00434,Furniture,Bed Frame,SN-A3F1DD167A,2026-05-28,1882.28,2026-05-28,1095,2029-05-27,2029-05-06,Structural Frame Defect,Structural Frame Defect reported by customer during normal use.,Electrical Fault,2029-05-07,1075,True,True,True,True,1,True,False,False,Valid
CLM-00052,PRD-00052,Electronics,Headphones,SN-BD37640022,2024-11-12,647.76,2024-11-12,730,2026-11-12,2025-06-27,Software Fault,Software Fault reported by customer during normal use.,Manufacturing Defect,2025-06-29,229,True,True,True,True,0,True,False,False,Valid
CLM-01200,PRD-01200,Electronics,Television,SN-2E9B1D5DDE,2026-01-25,2382.39,2026-01-25,365,2027-01-25,2026-09-24,Charging Port Issue,Charging Port Issue reported by customer.,Structural Damage,2026-09-28,246,True,True,True,True,1,True,False,True,ManualReview
CLM-01129,PRD-01129,Furniture,Bookshelf,SN-B5A67DBA86,2022-10-02,598.85,2022-10-02,1095,2025-10-01,2023-02-21,Joint/Hinge Failure,"Stopped working, not sure why",Accidental Damage,2023-02-23,144,True,True,True,True,1,True,False,False,ManualReview
CLM-01191,PRD-01191,Appliances,Washing Machine,SN-3FD0ABFD63,2024-11-26,1424.44,2024-11-26,730,2026-11-26,2025-08-04,Drainage Issue,Drainage Issue reported by customer.,Accidental Damage,2025-08-08,255,True,True,True,True,1,True,False,True,ManualReview
CLM-01250,PRD-01250,Appliances,Dishwasher,SN-55754BF1ED,2026-01-06,1026.74,2026-01-06,730,2028-01-06,2028-01-01,Electrical Short Circuit,Electrical Short Circuit reported by customer.,Cosmetic Damage,2028-01-02,726,True,True,True,True,0,True,False,False,ManualReview
CLM-01420,PRD-01420,Appliances,Air Conditioner,SN-0DA7881D27,2023-07-10,1243.99,2023-07-10,1095,2026-07-09,2025-05-03,Motor Failure,Motor Failure reported by customer.,Accidental Damage,2025-05-07,667,True,True,False,True,0,True,False,False,ManualReview
CLM-00433,PRD-00433,Furniture,Office Chair,SN-CCF06E4083,2026-05-25,375.05,2026-05-25,1095,2029-05-24,2027-01-18,Joint/Hinge Failure,Joint/Hinge Failure reported by customer during normal use.,Structural Damage,2027-01-21,241,True,True,True,True,0,True,False,False,Valid
CLM-01453,PRD-01453,Electronics,Tablet,SN-5AA6DC7F3D,2025-10-04,2382.76,2025-10-04,730,2027-10-04,2026-10-15,Charging Port Issue,Charging Port Issue reported by customer.,Wear and Tear,2026-10-16,377,True,True,False,True,1,True,False,False,ManualReview
CLM-01471,PRD-01471,Electronics,Laptop,SN-197188734B,2026-06-15,1479.75,2026-06-15,730,2028-06-14,2026-09-29,Screen Malfunction,Makes strange noise occasionally,Wear and Tear,2026-10-01,108,True,True,True,True,1,True,False,False,ManualReview
CLM-01235,PRD-01235,Appliances,Air Conditioner,SN-27E86AD2F0,2025-08-14,225.56,2025-08-14,1095,2028-08-13,2026-11-11,Motor Failure,Motor Failure reported by customer.,Cosmetic Damage,2026-11-16,459,True,True,True,True,1,True,False,True,ManualReview
CLM-01282,PRD-01282,Electronics,Television,SN-B3E07703A1,2025-12-30,713.32,2025-12-30,730,2027-12-30,2027-06-11,Software Fault,Software Fault reported by customer.,Accidental Damage,2027-06-14,531,True,True,True,True,0,True,False,True,ManualReview
CLM-01086,PRD-01086,Appliances,Washing Machine,SN-41BDEAD476,2024-08-11,1107.11,2024-08-11,730,2026-08-11,2026-01-15,Thermostat Malfunction,Thermostat Malfunction reported by customer.,Electrical Fault,2026-01-18,525,True,True,True,True,0,True,False,True,ManualReview
CLM-00611,PRD-00611,Appliances,Microwave Oven,SN-EFC79E9E81,2023-08-27,1764.06,2023-08-27,1095,2026-08-26,2023-10-31,Thermostat Malfunction,Thermostat Malfunction reported by customer.,Accidental Damage,2023-11-01,66,True,True,True,True,1,True,True,False,Invalid
CLM-01285,PRD-01285,Appliances,Washing Machine,SN-D42ED94EE4,2024-07-18,1612.81,2024-07-18,1095,2027-07-18,2025-09-29,Compressor Fault,Compressor Fault reported by customer.,Wear and Tear,2025-10-02,441,True,True,False,True,0,True,False,False,ManualReview
CLM-01042,PRD-01042,Furniture,Bed Frame,SN-F76CCE09CD,2025-07-26,574.56,2025-07-26,1095,2028-07-25,2027-12-22,Structural Frame Defect,Structural Frame Defect reported by customer.,Wear and Tear,2027-12-25,882,True,False,True,True,1,True,False,False,ManualReview
CLM-00221,PRD-00221,Appliances,Air Conditioner,SN-DBA5805FB7,2024-03-31,2198.02,2024-03-31,730,2026-03-31,2025-12-12,Drainage Issue,Drainage Issue reported by customer during normal use.,Accidental Damage,2025-12-13,622,True,True,True,True,0,True,False,False,Valid
